UNSPSC-Code,UNSPSC-Description-eng,UNSPSC-Description-fra,HierarchyLevel-NiveauHierarchique,CommodityType-TypeProduit-eng,CommodityType-TypeProduit-fra,GSINCode-NIBSCode,GSINDescription-NIBSDescription-eng,GSINDescription-NIBSDescription-fra,date-file-published
23242600,"Specialized or miscellaneous metal cutting machines","Machines pour la coupe de différents diverses ou spécialisées",L3,Goods,Biens,N3456,"Cutting and Forming Tools for Secondary Metalworking Machinery","Outils à couper et former de machine secondaire pour le travail des métaux",2021-05-12
23242700,"Tube mill machinery","Machines de fabrication de tubes",L3,Goods,Biens,N3416,Lathes,Tours,2021-05-12
23250000,"Metal forming machinery and accessories","Machines et accessoires de façonnage des métaux",L2,Goods,Biens,N3400,"Metalworking Machinery","Machines Et Equipement Pour Le Travail Des Metaux",2021-05-12
23251500,"Metal bending machines","Machines à cintrer les métaux",L3,Goods,Biens,N3400,"Metalworking Machinery","Machines Et Equipement Pour Le Travail Des Metaux",2021-05-12
23251600,"Metal rolling machines","Machines à cintrer les tôles",L3,Goods,Biens,N3400,"Metalworking Machinery","Machines Et Equipement Pour Le Travail Des Metaux",2021-05-12
23251700,"Forging machines","Machines à forger",L3,Goods,Biens,N3422,"Rolling Mills and Drawing Machines","Laminoirs et machines à étirer",2021-05-12
23251800,"Metal forming dies and tooling","Moules de formage des métaux et outillages",L3,Goods,Biens,N3441,"Bending and Forming Machines","Cintreuses et formeuses",2021-05-12
23251900,"Metal container manufacturing machinery and equipment","Machines et équipement de fabrication de contenants métalliques",L3,Goods,Biens,N3446,"Forging Machinery and Hammers","Machines à forger et marteaux-pilons",2021-05-12
23260000,"Rapid prototyping machinery and accessories","Machines de prototypage rapide et accessoires",L2,Goods,Biens,N3695,"Miscellaneous Special Industry Machinery","Machines diverses pour industries spéciales",2021-05-12
23261500,"Rapid prototyping machines","Machines de prototypage rapide",L3,Goods,Biens,N3695,"Miscellaneous Special Industry Machinery","Machines diverses pour industries spéciales",2021-05-12
23261600,"Rapid prototyping machine accessories","Accessoires pour machines de prototypage rapide",L3,Goods,Biens,N3695,"Miscellaneous Special Industry Machinery","Machines diverses pour industries spéciales",2021-05-12
23270000,"Welding and soldering and brazing machinery and accessories and supplies","Machines, accessoires et fournitures pour le soudage et le brasage",L2,Goods,Biens,N3431,"Electric Arc Welding Equipment","Equipement de soudage électrique à l'arc",2021-05-12
23271400,"Welding machinery","Machines à souder",L3,Goods,Biens,N3439,"Miscellaneous Welding, Soldering, and Brazing Supplies and Accessories","Fournitures et accessoires divers pour soudage et brasage",2021-05-12
23271500,"Brazing machinery","Machines à brasage fort",L3,Goods,Biens,N3439,"Miscellaneous Welding, Soldering, and Brazing Supplies and Accessories","Fournitures et accessoires divers pour soudage et brasage",2021-05-12
23271600,"Soldering machines","Machines à brasage tendre",L3,Goods,Biens,N3439,"Miscellaneous Welding, Soldering, and Brazing Supplies and Accessories","Fournitures et accessoires divers pour soudage et brasage",2021-05-12
23271700,"Welding and soldering and brazing accessories","Accessoires pour le soudage et le brasage",L3,Goods,Biens,N3439,"Miscellaneous Welding, Soldering, and Brazing Supplies and Accessories","Fournitures et accessoires divers pour soudage et brasage",2021-05-12
23271800,"Welding and soldering and brazing supplies","Fournitures pour le soudage et le brasage",L3,Goods,Biens,N3695,"Miscellaneous Special Industry Machinery","Machines diverses pour industries spéciales",2021-05-12
23280000,"Metal treatment machinery","Machines pour le traitement des métaux",L2,Goods,Biens,N3685,"Specialized Metal Container Manufacturing Machinery and Related Equipment","Machines spéciales pour la fabrication de conteneurs métalliques et équipement connexe",2021-05-12
23281500,"Coating or plating machines","Machines pour le placage ou l'enrobage",L3,Goods,Biens,N3685,"Specialized Metal Container Manufacturing Machinery and Related Equipment","Machines spéciales pour la fabrication de conteneurs métalliques et équipement connexe",2021-05-12
23281600,"Heat treating machines","Machine pour le traitement thermique",L3,Goods,Biens,N3685,"Specialized Metal Container Manufacturing Machinery and Related Equipment","Machines spéciales pour la fabrication de conteneurs métalliques et équipement connexe",2021-05-12
23281700,"Mechanical surface treatment machines","Machines pour le traitement mécanique des surfaces",L3,Goods,Biens,N3685,"Specialized Metal Container Manufacturing Machinery and Related Equipment","Machines spéciales pour la fabrication de conteneurs métalliques et équipement connexe",2021-05-12
23281800,"Metal treatment fixtures and tooling","Outillages et appareillages pour le traitement des métaux",L3,Goods,Biens,N3685,"Specialized Metal Container Manufacturing Machinery and Related Equipment","Machines spéciales pour la fabrication de conteneurs métalliques et équipement connexe",2021-05-12
23281900,"Metal cleaning machinery and supplies","Machines et fournitures pour le nettoyage des métaux",L3,Goods,Biens,N3685,"Specialized Metal Container Manufacturing Machinery and Related Equipment","Machines spéciales pour la fabrication de conteneurs métalliques et équipement connexe",2021-05-12
23290000,"Industrial machine tools","Machines-outils industrielles",L2,Goods,Biens,N3413,"Drilling and Tapping Machines","Perceuses et taraudeuses",2021-05-12
23291500,"Industrial drilling tools","Outils de perçage industriels",L3,Goods,Biens,N3417,"Milling Machines",Fraiseuses,2021-05-12
23291600,"Industrial milling tools","fraises industrielles",L3,Goods,Biens,N3455,"Cutting Tools for Machine Tools","Outils de coupe de machine-outil",2021-05-12
23291700,"Industrial reaming tools","Outils d'alésage industriel",L3,Goods,Biens,N3455,"Cutting Tools for Machine Tools","Outils de coupe de machine-outil",2021-05-12
23291800,"Industrial threading tools","Outils de filetage industriels",L3,Goods,Biens,N3625,"Textile Industries Machinery","Machines des industries textiles",2021-05-12
23291900,"Industrial boring tools","Outils de forage industriels",L3,Goods,Biens,N3625,"Textile Industries Machinery","Machines des industries textiles",2021-05-12
23300000,"Wire machinery and equipment","Machines et équipement de fabrication de câbles",L2,Goods,Biens,N3411,"Boring Machines",Aléseuses,2021-05-12
23301500,"Wire working machinery and equipment and accessories","Machines, équipement et accessoires pour le travail de câbles",L3,Goods,Biens,N3447,"Wire and Metal Ribbon Forming Machines","Machines à tréfiler et à faire les feuillards",2021-05-12
24000000,"Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies","Machines pour la manutention, l'emballage et le stockage, accessoires et fournitures",L1,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24100000,"Material handling machinery and equipment","Machines et équipements pour la manutention",L2,Goods,Biens,N3990,"Miscellaneous Materials Handling Equipment","Equipements divers de levage et de manutention",2021-05-12
24101500,"Industrial trucks","Chariots de manutention",L3,Goods,Biens,N3990,"Miscellaneous Materials Handling Equipment","Equipements divers de levage et de manutention",2021-05-12
24101600,"Lifting equipment and accessories","Équipements et accessoires de levage",L3,Goods,Biens,N3990,"Miscellaneous Materials Handling Equipment","Equipements divers de levage et de manutention",2021-05-12
24101601,Elevators,Élévateurs,L4,Goods,Biens,N3960,"Freight Elevators",Monte-charge,2021-05-12
24101602,Hoists,"Engins de levage",L4,Goods,Biens,N3950,"Winches, Hoists, Cranes, and Derricks","Treuils, palans, grues et derricks",2021-05-12
24101603,Forklifts,"Chariots élévateurs à fourche",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101604,Lifts,Monte-charge,L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101605,"Loading equipment","Installation de chargement",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101606,Stackers,Gerbeurs,L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101608,Winches,Treuils,L4,Goods,Biens,N3950,"Winches, Hoists, Cranes, and Derricks","Treuils, palans, grues et derricks",2021-05-12
24101609,Tilts,Basculeurs,L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101610,Manipulators,Manipulateurs,L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101611,Slings,Élingues,L4,Goods,Biens,N3940,"Blocks, Tackle, Rigging, and Slings","Moufles et élingues",2021-05-12
24101612,Jacks,"Vérins, crics",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101613,"Blocks or pulleys","Moufles ou poulies",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101614,"Air bags for loading","Coussins d'air pour le chargement",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101615,"Loading ramps","Rampes de chargement",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101616,"Below the hook device","Appareil sous crochet",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101617,"Scissor lift or lift table","Ascenseur à ciseaux",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101618,"Pipe layer","Tracteur à grue latérale",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101619,"Bridge cranes","Grue à portique",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101620,"Track cranes","Grue mobile sur chenilles",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101621,"All terrain cranes","Grues tout-terrain",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101622,"Rough terrain cranes","Grues pour terrains accidentés",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101623,"Tower cranes","Grues à tour",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101624,"Hydraulic truck cranes","Grues automobiles hydrauliques",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101625,"Conventional truck cranes","Grues automobiles conventionnelles",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101626,"Escalator or walkways","Escaliers ou trottoirs mécaniques ou roulants",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101627,"Girder trolleys","Chariots de poutre",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101628,"Adjustable forks","Fourchettes ajustables",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101629,"Forklift or elevator accessories or supplies","Accessoires ou pièces pour chariots élévateurs à fourche",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101630,"Workshop cranes","Grues d´ atelier",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101631,"Suction cups","Tasses de succion",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101632,"Side shifts","Tabliers porte fourche à dépassement latéral",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101633,"Hoist drums","Tambours de halage",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101634,"Chain bags","Sacs à chaîne",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101635,"Screw jacks","Crics à vis",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101636,"Counter weight bag and counterweight","Lests et contrepoids",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101637,"Nylon fabric sling","Élingue en nylon",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101638,"Wire rope sling","Élingue en câble métallique",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101639,Windlass,Guindeau,L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101640,"Traversing gear unit","Équipement de polygonation",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101641,Shackle,Manille,L4,Goods,Biens,N3940,"Blocks, Tackle, Rigging, and Slings","Moufles et élingues",2021-05-12
24101642,"Floating crane","Grue flottante",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101643,"Laundry and dressing trolley","Chariot à linge",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101644,"Dumb waiter","Petit monte-charge",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101645,"Crawler crane","Grue sur chenilles",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101646,"Railway crane","Grue ferroviaire",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101647,"Material lifting clamp","Bride de levage de matériaux",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101648,"Plate lifting clamp","Bride de levage de plaques",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101649,"Winch crane","Grue à treuil",L4,Goods,Biens,N3950,"Winches, Hoists, Cranes, and Derricks","Treuils, palans, grues et derricks",2021-05-12
24101650,"Guy derrick","Derrick à haubans",L4,Goods,Biens,N3950,"Winches, Hoists, Cranes, and Derricks","Treuils, palans, grues et derricks",2021-05-12
24101651,Capstan,Cabestan,L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101652,"Jib crane","Grue à flèche",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101653,"Overhead crane","Pont roulant",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101654,"Gantry crane","Pont portique",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101655,"Vehicle parking lift system","Pont élévateur de stationnement de véhicules",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101656,"Tractor towed crane","Grue attelée à un tracteur",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101657,"Tractor mounted crane","Grue montée sur tracteur",L4,Goods,Biens,N3810,"Cranes and Crane-Shovels","Grues et grues-pelles",2021-05-12
24101658,"Lifting magnet","Aimant de levage",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101659,"Vehicle movable jack or dolly","Timon ou diabolo déplaçable par véhicule",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101660,"Battery lifter","Élévateur à batterie",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101661,"Vehicle lift","Pont élévateur pour véhicules",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101662,"Winch cover","Housse de treuil",L4,Goods,Biens,N3900,"Materials Handling Equipment","Equipements De Levage Et De Manutention",2021-05-12
24101700,"Conveyors and accessories","Transporteurs et accessoires",L3,Goods,Biens,N3990,"Miscellaneous Materials Handling Equipment","Equipements divers de levage et de manutention",2021-05-12
24101800,"Dock equipment","Équipements de quai",L3,Goods,Biens,N3990,"Miscellaneous Materials Handling Equipment","Equipements divers de levage et de manutention",2021-05-12
24101900,"Drum handling equipment","Équipements pour la manutention de fûts",L3,Goods,Biens,N3990,"Miscellaneous Materials Handling Equipment","Equipements divers de levage et de manutention",2021-05-12
24102000,"Shelving and storage","Rayonnages et systèmes de stockage",L3,Goods,Biens,N3910,Conveyors,Transporteurs,2021-05-12
24102100,"Warehousing equipment and supplies","Équipements et fournitures pour l'entreposage",L3,Goods,Biens,N3930,"Warehouse Trucks and Tractors, Self-Propelled","Camions et tracteurs d'entrepôt, automoteurs",2021-05-12
24102200,"Packing tools","Outils pour l'emballage",L3,Goods,Biens,N4250,"Recycling and Reclamation Equipment","Equipements de récupération et de recyclage",2021-05-12
24102300,"Automatic guided vehicles AGV","Véhicules à guidage automatique (VGA)",L3,Goods,Biens,N7125,"Cabinets, Lockers, Bins, and Shelving","Armoires, armoires de sûreté, présentoirs, casiers, coffres et rayonnages",2021-05-12
